,7h,12h,16h,24h
YLR251W,8.3783,21.6111,18.0607,13.0664
YHR177W,4.59409,1.79104,1.09599,1.41554
YDR120C,45.4209,44.3117,31.9505,25.4399
YCR101C,3.96891,3.17659,1.80333,0.728276
YDL055C,414.853,183.623,117.618,92.2237
YPR024W,25.0338,52.7122,59.8574,63.399
YNL103W,12.159,15.7554,20.7162,28.9789
YPR185W,6.11987,4.4783,2.90132,4.2729
YBR020W,3.37764,5.01721,4.34655,3.59883
YFL042C,3.53571,6.61,2.69809,2.5845
YPL147W,0.89603,3.20357,5.39049,5.81749
YCR046C,34.727,95.7377,68.722,24.46
YBR198C,14.1578,11.7426,7.77715,6.12586
YBR079C,77.5746,64.1121,32.1737,22.5245
YBL063W,1.52603,1.03645,0.847384,1.84479
YER143W,7.43115,14.1394,14.6425,28.7698
YHR199C,88.8116,215.085,174.899,198.289
YPL118W,33.5818,52.52,33.5758,18.9946
YML022W,269.606,320.905,206.99,184.651
YKL208W,8.59021,12.2842,8.74359,6.64445
YNR050C,213.028,69.0354,4.26122,2.16108
YER039C-A,20.7116,69.5442,95.6554,106.578
YNR047W,8.95281,11.3911,13.873,11.2791
YHR048W,27.3809,170.176,168.573,138.096
YFL034C-A,419.922,326.81,231.313,80.6542
YBR199W,50.695,57.7357,77.1719,68.7319
YBR171W,97.2988,91.6171,56.348,44.6223
YNL006W,22.2459,30.3234,51.2659,72.1701
YLR300W,517.616,213.477,88.5953,93.1752
YPL173W,20.7636,32.3878,31.2575,21.5125
YDL123W,34.2081,91.416,219.671,304.929
YJL206C,1.54643,3.4439,3.75877,2.99106
YOR034C-A,3.92906,3.7294,6.77509,8.18452
YLR119W,6.4103,5.14149,4.96155,4.64471
YNL216W,18.4425,12.5275,13.9315,13.0536
YDR103W,0.981595,1.62176,1.12775,1.74873
YBR068C,7.13813,8.67778,13.7641,30.1464
YKL001C,663.874,116.23,29.184,37.2108
YNR038W,31.0094,25.9212,13.4611,10.2709
YMR319C,50.3901,53.6286,66.2817,66.2738
YPR062W,307.342,349.284,314.661,254.358
YBR083W,3.77469,4.04835,4.58771,15.8387
YHR153C,6.21463,2.32571,2.97811,3.67333
YKL167C,38.7798,72.9185,90.9758,54.7096
YIL046W-A,1.98535,7.85243,23.1351,35.8846
YIR023W,13.2458,11.1503,7.86332,7.09839
YHR079C-A,2.10229,1.47159,0.656274,0
YPL082C,7.54218,6.18624,5.28725,3.35408
YNL161W,11.9739,9.22232,10.6385,12.9832
YNL097C,5.43176,9.13996,7.62211,11.2365
YOL146W,16.8952,14.921,11.4786,13.3403
YLR410W-B,3.38332,3.26386,1.81642,1.41551
YGL128C,9.96441,7.88601,7.43224,4.74732
YHR214C-B,0,0,0,0
YPL011C,24.9042,18.7823,12.587,8.80422
YOL121C,1132.6,765.239,389.55,107.601
YLR181C,19.9134,14.1763,9.41455,6.12898
YGR061C,113.804,62.2112,20.7912,18.7283
YDL029W,68.9244,42.4494,16.5884,14.9572
YPL201C,0.570491,3.11041,10.4051,8.86662
YNL143C,228.266,305.146,333.967,412.018
YDR195W,10.324,10.9937,7.46645,7.93126
YNL052W,355.584,919.814,947.066,675.961
YOR257W,34.825,30.9414,37.5877,40.3185
YLR014C,10.7923,11.7718,9.80094,5.20942
YLR291C,56.5407,60.7087,47.244,40.0814
YIL021W,63.8382,49.4216,32.3104,22.7769
YJR025C,149.712,95.6875,15.9382,9.98947
