,7h,12h,16h,24h
YGR121C,8.75635,11.4946,12.7767,8.13882
YIL009W,31.3484,39.6457,18.6018,11.2774
YER089C,40.9982,46.0465,28.9029,17.4509
YML037C,5.24355,2.70107,1.31501,0.585589
YDR383C,7.88679,5.84597,4.49923,3.28258
YNL030W,2002.41,404.635,270.067,142.973
YKL127W,17.9188,7.103,3.96444,4.01683
YPL213W,14.7126,17.0916,15.4539,15.6834
YML117W,10.6467,9.84812,16.1546,12.5407
YDR371W,5.6638,4.87433,1.53091,0.576501
YFL046W,25.9604,17.5385,12.358,5.70437
YLR287C-A,9574.25,5041.96,3069.86,1995.44
YKL194C,6.06777,25.3798,14.7601,9.46058
YNL019C,9.05865,7.05598,10.1058,11.1413
Q0120,0,0.0709471,0.0980699,0.0807115
YGR152C,47.4548,27.618,20.2496,11.6148
YLR455W,22.9785,22.453,18.9148,13.7755
YOR269W,14.2762,8.43344,5.74114,10.986
YJR039W,1.55809,3.30578,3.28482,2.24019
YDL092W,109.463,96.8829,69.4659,49.3605
YDR338C,7.89146,9.04493,14.6276,12.178
YBR181C,1964.85,1258.92,723.598,204.898
YDL110C,77.3258,250.109,184.855,118.469
YER184C,1.28414,2.15852,1.88996,1.27648
YMR085W,0.544671,3.28817,4.52846,8.12145
YFL038C,244.37,298.471,177.42,143.55
YPR139C,48.9479,47.8659,9.61021,5.86957
YCR011C,6.54581,8.67088,4.50052,2.56703
YPL119C,0.769691,3.87209,6.35661,13.8926
YNL199C,25.8602,20.7862,15.5915,11.9049
YLR023C,131.272,225.385,416.594,399.621
YGR275W,36.7658,33.7828,24.9487,23.6791
YBR272C,6.57795,7.7116,6.93253,4.93617
YAL062W,2.54699,6.36253,6.42094,5.97809
YHL018W,4.79795,2.95554,3.57544,1.60679
YLR038C,301.931,762.656,692.504,305.418
YGR121W-A,3.36173,2.34271,2.82642,1.139
YNL271C,8.29616,8.52057,8.49541,6.73013
YGR240C,203.507,120.478,125.277,94.9072
YGR170W,5.36793,4.24036,2.08373,1.19946
YKR090W,10.9539,5.14523,4.8336,3.42185
YPR075C,38.0879,52.9806,67.0706,62.7149
YPL055C,9.6475,11.7417,21.1385,29.2987
YHR008C,247.618,1149.92,313.383,160.339
YHL022C,1.34898,2.16655,1.90362,1.18509
YHR026W,234.879,238.758,200.812,127.941
YOL052C,47.9451,57.5088,34.9644,26.3154
YDR238C,46.8423,31.8187,14.8281,11.0845
YOR022C,2.91487,3.22274,3.59067,4.04092
YML040W,0.808861,0.0230732,0.000734291,0
YIL144W,4.90165,2.92617,3.04409,5.45785
YJL104W,52.4095,79.3203,85.867,75.7947
YHL040C,38.7884,173.95,143.021,59.5184
YAR014C,26.5119,18.455,13.7217,10.3626
YIL031W,6.20806,4.90557,5.08583,8.21476
YHR088W,67.8104,74.5963,46.7905,37.795
YJR005C-A,1.34734,2.12226,8.50677,22.9053
YNL165W,9.41215,9.94468,11.031,10.3353
YDL064W,98.8454,98.4107,72.7956,58.0623
YDR317W,3.13113,4.95307,4.31476,2.06754
YDR365C,46.3431,40.6736,34.0839,22.9666
YGR130C,4.92202,6.40272,6.58895,9.4878
YBL027W,1547.8,1171.1,656.68,256.681
YMR179W,5.16353,2.95191,2.08009,5.26784
YDR224C,979.52,373.179,299.324,155.865
YNR058W,3.54412,3.73523,2.64531,0.727705
YJL146W,9.5121,12.8906,10.3925,7.562
YHR175W-A,61.3032,144.092,110.144,44.3869
YMR310C,90.3812,94.1792,59.1157,40.251
YNL328C,3.21006,3.27031,1.52577,1.00055
YGL009C,93.1672,44.4773,61.9447,41.6747
YCL001W-B,12.977,19.5829,28.5488,43.8938
YBR155W,28.5225,28.5106,17.2476,13.072
YDL197C,4.07077,2.41519,3.71983,5.13262
YLR263W,2.19247,2.011,1.40985,0.731978
YNL132W,33.9765,28.9286,14.6121,10.4744
YNR044W,6.63423,13.5955,4.00119,1.92017
YGR161C,60.5421,64.2032,87.5569,228.912
YDL022W,51.1409,129.683,68.2091,133.612
YLR210W,10.5391,3.78207,2.48804,1.85497
YPL236C,10.2595,14.6215,17.0246,13.7118
YFL017W-A,81.1823,106.125,79.4034,68.323
YHR050W,27.2212,38.6231,68.0908,56.0957
YHL048C-A,79.4502,232.903,86.2989,78.0538
YML071C,5.58403,4.23678,2.11498,1.57211
YPL269W,3.65872,1.75454,1.91193,2.12987
YCR032W,2.6613,2.53647,1.1435,1.18621
YCL045C,43.7345,52.386,42.0563,32.7709
YIR014W,1.58073,4.42939,5.55481,6.31523
YPL228W,8.71731,7.55385,6.04773,5.89948
YNL080C,64.0773,84.0302,91.2966,74.3332
YCR102C,24.6544,25.4273,16.6852,27.1123
YIL156W-B,99.7443,148.869,116.894,87.6788
YGR062C,13.7702,26.6222,32.4076,22.2326
YIL132C,10.7535,4.71794,3.39947,2.15773
YLR052W,35.9041,32.6244,16.8844,11.8003
YER110C,95.138,92.8606,56.2632,49.8574
YOL019W-A,0,0,0,0
YBR165W,29.654,27.4441,33.8679,37.317
YDR398W,90.7566,92.3027,62.8702,47.4704
YHR102W,8.74687,6.41968,7.5529,8.91983
YBR192W,28.6226,39.9997,28.9602,15.3673
YOR123C,28.883,18.1411,15.6478,12.1596
YJL034W,23.9745,25.6402,93.481,203.132
YDR377W,256.18,772.194,994.038,456.735
YBR172C,47.5661,45.5521,46.2293,44.6542
YLR008C,128.628,167.837,131.884,91.7343
YBL022C,7.64744,25.0862,21.1142,27.8954
YNL037C,109.091,223.238,598.284,392.804
YOR209C,99.2039,76.717,22.5787,16.4145
YAL058W,13.5502,17.4194,11.7985,7.0573
YBR270C,5.88127,7.87977,8.47784,6.90665
YML053C,32.1219,21.7692,17.103,14.0144
YDR110W,27.2314,18.1834,11.3154,6.31752
YPR133W-A,746.012,1534.07,1199.29,686.38
YDR325W,8.70955,4.59889,3.37387,1.78314
YNL049C,12.3317,11.0015,8.52406,5.63194
YFR039C,16.6252,15.5269,16.4845,17.367
YHR104W,0,0,0,0.0568495
YJL035C,14.1947,14.2629,24.8269,29.0223
YNL200C,52.9102,285.49,372.944,370.452
YIL019W,33.006,38.2801,21.7558,13.4202
YOL020W,6.01026,5.5774,2.8913,7.37202
YPL208W,12.6737,8.99664,9.11507,6.17444
YBR182C-A,9.9086,24.5351,21.0638,53.1474
YHR197W,40.9054,39.1639,19.3751,18.5221
YBL014C,12.3845,12.2707,8.75883,7.07782
YMR036C,6.57239,4.4223,4.19898,4.89862
YKR045C,19.8602,28.9998,28.3372,14.4554
YLL013C,7.93618,13.5163,11.5129,8.49784
YML075C,365.179,570.423,215.881,221.951
YIL027C,42.4676,34.9288,17.8468,12.5979
YHR065C,49.5866,44.0661,28.8112,14.0422
YGL004C,8.56233,8.51804,3.63737,2.41944
YML072C,39.8226,33.4906,8.85797,5.80161
YOL164W,0,0,0,0
YDR253C,40.3256,22.1371,27.6101,37.0211
YER004W,41.3887,48.9113,43.677,70.3939
YPR072W,27.1458,18.1567,12.2175,7.57136
YDL060W,45.9027,33.8056,20.3072,9.89182
YOR037W,9.66316,13.1751,9.32867,6.5632
YBL095W,67.0314,201.642,163.307,92.7035
YER042W,29.6631,45.7456,24.3423,26.5401
YOL124C,65.1349,44.6763,27.6705,20.3317
YGL041W-A,25.832,24.8211,28.8128,14.023
YGL050W,24.7572,23.672,22.9869,15.8542
YIL103W,33.1816,33.6541,32.8708,25.1967
YGL076C,1412.46,768.511,361.423,98.305
YBR048W,1607.47,1154.77,575.987,166.346
YPL100W,5.82834,6.41679,5.18769,5.04215
YLR139C,9.49615,12.5465,8.39993,4.15531
YDR232W,112.101,162.438,155.433,113.862
YKL003C,48.9191,93.7184,75.5622,50.7875
YDR541C,52.1438,89.6936,24.212,24.527
YGL056C,89.2496,109.544,66.8149,38.963
YER186C,26.412,32.6573,31.1879,21.9315
YPR164W,4.17903,3.02541,1.90026,1.29252
YDR080W,3.1291,3.0955,1.71988,0.891223
YJL077C,22.9663,24.0304,32.6624,20.5556
YCL001W,109.406,91.9025,64.0852,46.3227
YLR214W,21.6008,25.2322,13.2965,15.5512
YLR219W,7.96616,7.50772,13.7399,19.7692
YGL222C,24.9101,24.7359,30.8069,21.0274
YOR044W,102.015,106.69,122.009,90.524
YDL072C,67.5858,111.685,127.609,126.75
YGL181W,20.4534,23.4014,26.9109,28.516
YFL050C,9.21778,13.369,12.1035,9.8409
YBR142W,29.8062,23.3456,17.1577,11.7589
YOR083W,3.4317,1.73967,2.25253,2.7816
YBR066C,12.8367,25.4565,16.6531,14.4747
YLR074C,260.684,327.652,238.554,141.262
YBL044W,0.467619,0,0.995737,0.480085
YCL032W,13.2704,10.3662,6.83752,2.01925
YGR289C,5.05521,13.7822,11.2803,10.5299
YOR134W,1.49414,2.19145,18.2483,59.5462
YBR108W,6.58847,9.20616,9.46061,13.2389
YNR023W,10.7156,7.74956,9.27446,7.29888
YLR075W,2913.61,2238.81,1903.78,1185.9
YKL045W,14.2835,7.81723,6.46887,5.23272
YHR022C-A,54.903,78.8358,63.2878,75.1655
YOL034W,2.72003,2.01097,1.90642,1.45293
YHR207C,28.1252,22.5173,14.2477,8.58065
YPR027C,22.1302,22.401,16.3261,14.1393
YNR073C,6.72047,10.4996,21.2436,55.1525
YJL106W,1.63671,2.70039,4.6072,2.33891
YOR007C,82.7511,144.946,106.02,138.325
YBR242W,217.387,244.514,97.3056,47.1426
YMR182C,60.4491,51.5166,39.337,38.3358
YDR108W,9.06106,6.75383,4.94294,2.5012
YLR227W-A,0.808861,0.0230732,0.000734291,0
YML004C,65.9116,98.9409,150.554,168.667
YKL159C,7.45015,16.4935,11.0635,7.8267
YDR150W,4.92893,3.38875,3.24089,4.0194
YKR008W,16.9815,13.051,13.487,16.4492
YIR019C,4.10412,3.63301,0.949372,0.670875
YOL017W,4.02659,0.685861,0.220613,0.380897
YNL183C,11.2269,25.4217,29.6115,36.3425
YER009W,861.729,653.661,255.594,176.137
YDR458C,15.2702,10.4553,6.45156,2.57948
YBR196C-A,29.6444,20.5846,9.14027,8.87738
YMR171C,26.9835,31.9033,44.5222,46.9744
YPL038W,21.077,25.1731,13.1256,11.1057
YIL164C,18.2382,5.68698,5.05211,3.65197
YGL208W,1.76742,6.46625,9.03601,9.64252
YLR345W,9.22692,23.0787,34.0839,31.4612
YER010C,60.242,71.1177,28.1372,17.1775
YMR160W,2.39849,1.99429,2.24739,1.56755
YER074W,2037.63,1322.21,631.562,180.095
YNL321W,16.8133,21.9254,26.7582,17.6761
YLR069C,16.915,57.3439,34.5663,22.9825
YGL174W,9.35436,8.95795,5.96052,4.74552
YLR446W,6.99957,9.00154,7.17384,2.78181
YIL001W,11.3841,9.88009,5.33493,3.74778
YHR002W,3.98011,9.39695,17.1598,14.8947
YBR018C,0.19768,1.97108,0.621912,0.502329
YDR397C,47.5089,54.9729,37.9595,34.7954
YOR210W,610.986,511.869,285.927,203.611
YOR023C,6.31451,10.2904,23.0104,42.2599
YJL100W,22.2761,23.8907,20.6762,19.7096
YPR171W,10.4937,8.85422,6.77872,4.42251
YOR021C,88.2919,97.6125,82.3158,56.6894
YJL014W,77.4423,65.0122,60.2554,56.2539
YOR105W,17.2409,11.302,14.6325,16.7661
YCL054W,49.1093,31.3095,16.7167,9.16838
YOR182C,3930.16,2883,1818.25,1003.51
YFL021W,10.6974,15.9922,24.0066,32.8381
YCL059C,56.5691,61.7387,42.6182,25.2209
YGL241W,8.9233,6.65884,2.09027,0.977727
YNL067W-B,8.58364,9.64179,14.1531,0
YPR129W,33.2962,36.6787,20.6475,12.9596
YKL145W,47.1368,71.0601,57.1994,64.8151
YPR079W,18.6168,33.97,29.5749,23.9695
YLR135W,4.22667,3.43313,3.00658,3.66805
YMR014W,27.1911,21.5666,14.4417,11.3656
YDR283C,2.73562,3.33622,2.01487,1.2351
YJL194W,4.26641,3.46892,3.21789,5.06119
YEL076C,4.53843,2.87103,1.46559,3.05963
YGR262C,37.9951,36.5634,24.6835,18.5792
YPL106C,194.993,189.209,170.414,278.861
YGL023C,18.6334,18.9932,20.2638,19.796
YGR112W,3.96194,12.3776,14.6011,6.01869
YGR034W,2802.68,1611.44,743.015,191.706
YER137C,33.9636,28.3087,23.0733,15.6416
YNL025C,6.38422,7.03263,9.65813,11.7704
YDR200C,3.48882,2.48484,3.25265,2.34146
YCR084C,98.4505,64.2647,30.9969,27.5138
YDR005C,31.2011,25.5478,27.7799,19.1275
YGL007C-A,18.9686,6.98102,25.0419,35.0448
YPL254W,16.7419,18.0968,9.04374,7.01512
YIL018W,2242.06,1603.75,764.95,211.155
YDR177W,56.0888,72.5216,57.4832,42.2367
YDL090C,6.88479,6.87407,5.56334,2.87886
YBL011W,14.5898,25.4708,27.7645,19.4367
YAL049C,74.1996,120.299,101.95,56.4768
YOL024W,0.855989,1.94476,2.10368,1.31396
YDL222C,0.804732,1.519,0.760088,0.78848
YMR262W,4.65205,10.7441,9.09361,5.199
YHR140W,5.35381,20.3857,38.3333,63.6615
YCL057C-A,181.258,720.519,527,245.751
YML115C,49.468,42.2442,36.6118,23.7435
YHR160C,1.16359,2.5329,3.0449,1.90313
YLR440C,6.4916,7.27632,3.50468,1.60789
YNL234W,12.0068,11.3335,12.0064,22.8524
YNL162W,2326.86,1605.18,806.503,253.913
YLR450W,9.92431,17.5461,20.7465,15.48
YPR010C,144.809,131.771,67.4546,47.1612
YAL063C,1.44282,1.28227,0.760684,0.743342
YOR063W,1268.02,947.837,562.007,271.248
YBR215W,6.86674,5.07315,3.7464,2.58566
YLR452C,2.48827,2.17087,0.859051,0.21645
YER025W,143.97,121.421,70.5131,52.0267
YNL147W,57.7244,56.6235,44.2179,46.5301
YGR276C,11.4415,12.0218,11.49,14.2218
YLR031W,4.48093,6.55161,5.66902,4.71432
YEL052W,17.6678,45.3463,35.4507,23.6385
YOR155C,7.69926,15.9054,13.9303,9.8251
YBL100W-C,34.0262,14.4162,47.388,59.7042
YMR028W,11.256,8.19554,8.70676,5.68827
YFL045C,599.219,255.399,154.402,153.687
YDL007W,44.2989,53.2775,54.0554,82.0775
YGR141W,6.57943,11.6697,17.1222,18.3537
YJR112W-A,57.3085,102.721,70.2095,26.5774
YGR109W-A,2.10279,3.04656,3.68799,3.72863
YIL010W,15.0937,17.8427,13.1454,8.2112
YDR115W,105.635,221.684,226.843,135.16
YNL007C,24.9643,31.4802,121.991,372.379
YOL019W,11.0199,4.97217,0.760458,0.623544
YPR173C,44.4064,39.6405,22.5147,17.2838
YKR104W,0,0,0,0
YFL041W,10.3232,28.9942,36.7026,40.6101
YJL047C-A,7.22275,16.5351,23.5361,33.9393
YDR454C,229.573,246.139,68.3211,43.2789
YDL135C,55.1472,41.3032,27.8015,14.9484
YBR177C,142.801,239.264,364.857,390.279
YOR196C,40.4285,53.7634,46.8152,34.3275
YPR156C,30.2945,49.9098,94.7129,200.425
YNL102W,5.31625,1.52533,0.606123,0.295501
YDL076C,19.7387,25.5488,29.2239,22.1914
YLR348C,17.2201,14.6743,4.44718,2.06044
YOR192C-B,1.04089,0.79733,0.874993,0.687745
YJL214W,0.12892,0.464128,0.709298,0.649362
YER149C,17.6648,13.9094,10.4446,13.1126
YGR086C,58.7936,59.9913,64.2403,53.7578
YDR435C,13.5331,23.3498,19.6734,9.51573
YHR155W,5.51475,6.01003,5.57355,4.1265
YGL154C,16.6811,18.8422,9.25613,9.33456
YIL070C,34.4552,80.2994,71.769,34.4841
YDR506C,1.0056,3.40653,2.50704,1.48208
YER157W,12.7666,7.42128,3.23024,2.59119
YIL121W,225.712,253.024,621.157,826.221
YCR106W,8.07293,8.39704,6.20357,7.46344
YCL009C,229.59,211.998,95.7711,46.7839
YKL218C,10.3423,8.30949,5.13253,4.03059
YOR152C,8.66889,51.4112,128.382,124.003
YBR262C,105.087,174.188,185.503,110.916
YKR038C,44.6205,42.9279,37.4157,28.2377
YJL052C-A,16.9478,17.6979,25.918,40.9581
YLR454W,2.79991,3.12818,1.31738,0.933951
YOL157C,0.998362,2.77607,2.92074,4.00051
YBR145W,39.6472,27.7542,25.8651,35.837
YLR312C,1.54169,7.44164,32.6788,50.7763
YER163C,47.5115,75.2976,86.4376,71.4054
YNL078W,4.41378,4.86658,4.61995,8.7069
YBL005W-A,0,0.0528367,0,0
YDR438W,25.4799,102.947,64.0564,52.0353
YLR154C-G,33720.5,40363.8,66303.5,84442.9
YDR027C,5.73172,5.03909,5.61733,5.19588
YIL126W,12.6355,7.28539,6.97659,6.87036
YBR213W,36.5174,32.9113,17.9545,10.3797
YKL026C,3.95378,59.3115,130.643,117.843
YDL138W,27.3203,44.0443,55.1066,43.9296
YDL003W,10.3128,2.64529,0.835362,0.245341
YFL044C,5.97977,15.0752,17.2602,16.9837
YHR133C,47.1258,43.942,18.9646,25.1598
YPL030W,28.5374,26.7181,19.2518,15.9161
YNL068C,15.5064,6.50311,6.35908,5.91389
YOR389W,20.4778,42.8583,36.4471,22.06
YMR195W,376.628,652.765,826.425,850.403
YDR310C,17.514,11.3688,6.18096,4.28458
YER053C-A,6138.66,8518.21,33176.8,74643.1
YLR384C,24.5008,25.3798,14.5586,10.3495
YBL024W,57.1519,46.0095,17.2908,9.2267
YGL035C,38.7928,30.8949,31.2657,33.0652
YNL107W,19.2282,16.7655,14.415,17.9682
YHR091C,5.50146,5.36129,6.20777,5.83847
YPL068C,19.5157,18.4962,14.4295,11.1316
YFR055W,9.8007,8.46334,3.74272,3.03837
YNL313C,40.1674,34.7691,19.0981,15.9015
YBR056W-A,36.0058,35.3383,21.3077,35.5109
YDR225W,712.9,283.146,481.828,423.099
YOL053W,3.79079,6.46118,5.0095,5.3994
YOR036W,7.71845,8.26554,17.4676,29.5566
YKL057C,24.1042,17.4087,7.05093,4.99626
YJR121W,169.26,482.567,599.182,354.799
YDL200C,12.5106,19.5431,12.6446,6.96357
YPR135W,6.01572,2.44561,0.701367,0.443358
YPL216W,3.9023,6.41744,3.23281,2.43709
YDR289C,7.94191,5.66846,6.15111,5.84624
YLR406C-A,2.47037,4.15759,3.05955,2.65996
YPR152C,3.7933,6.08186,5.29391,5.11567
YPL166W,4.359,6.23498,14.2081,18.8311
YHR082C,11.7903,10.6788,15.2158,20.8033
YHL027W,51.2934,56.019,44.9568,38.1797
YDL036C,21.8106,13.6844,6.57063,6.61449
YNL299W,14.628,13.344,11.5047,11.6472
YGR057C,36.5324,37.6498,27.9798,23.5633
YLR451W,16.1785,13.0546,12.0245,6.99057
YHR054C,3.10684,6.60643,3.7864,3.77239
YGR229C,103.3,83.2776,74.9752,42.5975
YER075C,5.53865,7.12952,4.45434,3.99312
YPR034W,31.6847,24.5647,20.2576,20.2552
YGR155W,465.109,443.757,170.912,161.686
YPR070W,16.7927,13.2335,9.18898,5.17482
YCL019W,1.36932,0.893584,0.678845,0.570642
YFL066C,4.09046,4.78312,6.22182,4.55948
YPL237W,217.326,200.907,141.209,101.735
YMR291W,15.9136,6.19265,10.745,15.8806
YAL067C,3.40657,6.21726,2.37287,1.57332
YMR054W,17.7986,31.1154,29.0096,25.0577
YNL287W,33.4324,20.994,12.329,9.59492
YHR041C,20.2775,24.1771,10.6389,2.58228
YMR072W,114.688,83.1559,23.8629,16.1418
YMR190C,2.6292,1.38405,2.48897,3.27487
YOR156C,3.01558,2.65527,4.5939,4.95697
YKL204W,12.1801,8.69553,4.50867,3.80446
YJR017C,79.9323,97.8374,53.928,30.9949
YCR004C,67.7447,100.668,62.5394,38.4929
YDR243C,5.67901,6.03136,4.07805,2.64669
YGR013W,10.5603,9.60281,8.31468,8.56579
YDR266C,26.8512,22.8261,19.1493,12.9956
YAL007C,103.979,50.4671,22.0646,15.2632
YIL061C,12.7771,12.1963,8.98004,4.96298
YDR267C,31.9953,25.1815,15.0352,9.72768
YGR178C,37.895,33.8861,22.7167,11.4785
YFL064C,0,0,0,0
YDL218W,1.25854,3.52175,2.06389,2.0384
YLR084C,7.98283,4.14554,1.98278,1.57963
YGL191W,299.753,1092.79,1914.39,1929.71
YJR063W,355.306,390.818,237.225,152.938
YPL083C,6.66649,5.51425,3.19865,2.89006
YOR126C,18.1216,41.2676,44.6011,34.124
YPR151C,4.42143,40.7654,36.5501,50.3529
YDR246W-A,2.88046,4.0561,10.8347,10.8152
YHL001W,1168.98,1115.5,571.894,230.497
YDL025C,12.3203,22.8857,24.7379,21.811
YDL030W,8.7155,9.03006,8.66593,6.39807
YPL198W,596.059,448.675,184.798,63.9908
YGL043W,33.353,25.619,19.8884,12.4843
YBR197C,9.94088,8.89529,6.82462,5.93364
YER088C,75.3009,103.243,107.739,92.6085
YDR357C,41.6181,55.0653,24.3956,8.16144
YBR201W,6.92646,8.23389,5.47955,4.16103
YFR057W,0.305202,0,0,0
YDR118W,4.16527,3.46983,4.03622,3.15218
YLR144C,7.55041,9.00573,7.56864,6.81365
YML130C,67.3151,116.444,174.089,199.418
YLR065C,82.1051,79.7821,42.7043,17.9557
YMR029C,8.49134,5.65623,3.5799,2.81151
YLR257W,23.2212,33.748,107.67,98.0664
YPR041W,200.794,192.436,122.017,100.645
YBR046C,12.6534,25.2647,18.9771,19.2445
YBR175W,30.1235,40.4413,35.4059,35.8622
YNR034W,18.6182,15.9984,21.6385,26.6281
YLR056W,3867.19,6307.81,5435.93,5139.8
YMR252C,40.2642,55.3027,89.6706,101.078
YLR131C,6.7581,2.90286,1.19573,1.07366
YER020W,14.19,14.6418,13.9655,17.1579
YHR147C,37.4927,77.7616,46.5742,28.5796
YPL246C,101.525,129.518,56.0173,24.1861
YDR056C,56.5783,51.3748,41.9692,31.789
YPL202C,37.81,33.4072,37.9756,29.1131
YFR028C,25.5187,16.8562,12.0469,6.8867
YNL283C,43.011,22.0838,18.4375,8.49127
YBR104W,111.003,41.9494,17.91,12.9235
YIR038C,34.6565,160.382,30.4999,23.5783
YFR042W,24.2156,28.8435,37.9684,48.8035
YLR249W,1013.55,1141.61,768.081,692.208
YGL176C,10.6002,9.2348,8.32021,7.03391
YOR180C,7.92166,7.94861,6.82455,7.92758
YJL068C,30.3843,53.1835,21.513,21.338
YIL150C,3.47101,1.59255,1.27857,2.06528
YBR255W,2.95838,3.10448,3.34346,2.60212
YDR242W,7.91264,7.7509,3.9271,3.61581
YPR004C,104.042,107.828,73.0374,48.3157
YCL056C,26.6891,28.1002,21.3047,14.3014
YEL054C,1963.59,1344.9,605.529,179.105
YCL043C,115.726,180.814,211.134,268.581
YDR495C,3.09166,3.09734,3.2956,3.22018
YML074C,47.3288,53.9124,25.2838,12.5636
YKL072W,6.62637,5.99645,7.26928,7.90144
YOR302W,7650.84,5125.67,7147.09,7567.8
YDL085W,0.839963,2.21643,1.26424,1.47086
YJL124C,94.6724,73.2812,50.7636,35.4768
YKL023C-A,631.025,609.512,523.136,360.018
YOR164C,40.2794,30.0141,21.4866,10.6496
YGL038C,16.9772,18.6761,16.7779,30.5011
YML058W,2518.88,2850.53,3141.14,2935.8
YDR503C,12.0222,15.9243,23.1565,24.6413
YJL177W,903,600.327,234.752,72.2083
YIR036C,4.26943,11.1169,2.07235,2.99231
YMR122W-A,2284.43,2104.74,1045.25,634.968
YJR054W,15.5849,11.0727,7.36925,9.02636
YMR128W,11.8163,10.0982,5.84413,3.63057
YDR424C,83.8221,56.7871,42.5501,21.6983
YMR013C,18.5131,21.9043,26.3717,25.8286
YOL052C-A,8.9506,378.112,8453.79,17606.4
YDR226W,517.252,287.826,66.4577,30.4664
YKL160W,88.5458,71.5943,52.1549,40.4352
YNR075C-A,25.9741,26.3561,15.849,11.7138
YPL038W-A,0,3.41878,1.32404,1.57788
YMR267W,24.0017,25.9759,9.99421,3.27245
YLL012W,361.725,795.546,610.529,391.972
YPR144C,59.7216,59.1904,32.8676,21.6557
YGL249W,0.970991,1.60367,1.676,1.25692
YLR353W,14.753,8.83122,3.8961,7.266
YPR001W,0.838819,1.55487,1.18194,1.39396
YNL192W,9.27458,6.94255,3.50852,5.54854
YLR382C,6.29118,12.1154,5.51482,3.00439
YOL039W,2292.23,2133.69,1111.23,264.701
YOL112W,18.3318,11.4946,9.99347,8.95782
YBL046W,7.7124,5.20312,4.61256,7.00414
YPR111W,10.6097,10.8304,13.3418,11.6377
YNL142W,53.072,181.849,39.9522,26.6437
YJL127C-B,399.455,310.332,254.273,142.749
YBR274W,7.59973,13.1251,12.2453,11.7289
YIL124W,29.1184,21.7894,4.62484,2.74753
YLR437C,92.3003,89.2502,108.554,96.4997
YBR250W,1.61015,2.4254,2.87949,1.35474
YPL234C,300.987,323.468,218.358,130.493
YGL036W,7.46386,7.36354,13.022,12.6864
YDL157C,153.323,141.235,77.148,44.5944
YMR266W,50.6557,67.5862,49.3264,53.0058
YDR282C,2.85486,4.41274,3.99115,2.19677
YER168C,19.8953,24.0081,25.3652,19.0186
YCL066W,2.21972,3.79858,2.78729,3.84647
YDL175C,11.3293,9.47813,11.7716,13.7221
YDR079C-A,46.1624,61.4671,31.4815,22.2274
YMR223W,14.4756,13.9094,9.78378,7.88054
YOR137C,9.01003,11.9364,11.3275,9.01452
YER076C,6.20408,10.5746,5.40207,3.38055
YDR078C,6.24547,13.1936,13.9452,17.7297
YJL065C,46.3526,54.655,41.7378,27.957
YEL001C,164.333,176.67,87.4467,70.8366
YLR242C,12.9947,14.1682,8.13259,4.51743
YEL034W,3881.64,4782.61,2389.84,1938.95
YNL085W,27.8767,25.7084,19.5614,17.759
YGL238W,32.1247,25.8649,16.0288,15.396
YKL178C,0.891409,1.78258,0.653814,0.829828
YJL107C,8.87705,15.6902,14.4452,12.5231
YAR010C,0,0,0.000368563,0
YDR119W,38.7164,43.5015,18.6947,14.7051
YHR204W,27.7992,32.8694,22.1868,14.7547
YFR005C,16.9196,15.9779,6.21161,4.1315
YKL099C,48.742,44.9939,29.4245,27.2145
YMR217W,500.305,468.892,271.94,271.473
YDL156W,4.39653,1.98386,1.24587,1.47583
YJR125C,32.2143,30.3998,21.7185,19.3139
YMR191W,39.7057,74.089,87.958,122.053
YDR385W,1048.09,886.87,457.253,265.788
YLR015W,12.0652,11.022,9.13491,8.28284
YAL042W,66.7059,76.2479,52.4949,37.6213
YCR098C,3.51527,6.57384,2.93202,2.33794
YOL041C,56.2502,52.6202,30.8892,19.1674
YGR067C,0.137725,0.652006,1.56259,4.81265
YKL130C,31.6494,22.6915,19.3423,22.9087
YBR222C,49.3009,82.3752,74.2554,71.1461
YPL258C,93.4025,88.5832,8.37027,6.5708
YDL083C,2041.85,1337.76,675.832,185.119
YKL164C,267.725,345.111,104.509,100.831
YJL051W,8.61052,4.13125,1.87512,1.63719
YIL041W,65.1362,80.6184,50.4699,34.8632
YHR031C,15.6916,10.2956,5.9906,2.33814
YBR184W,1.2737,0.330677,0.38912,0.468586
YDR507C,6.72348,2.19083,1.11277,0.693791
YLL001W,11.5463,14.927,20.0937,19.6707
YLL040C,3.88121,3.46348,0.920895,0.978012
YNL207W,54.1602,50.5249,36.4301,22.6938
YLR045C,7.3347,2.04731,1.49388,1.54555
YOR066W,12.9365,10.174,12.5817,15.8434
YJL001W,84.2263,99.3402,71.9499,76.3361
YNR010W,16.0997,17.8069,11.0558,10.3527
YPL281C,1.76709,13.9705,27.0864,24.83
YML087C,6.18771,24.9016,155.321,84.956
YNL251C,10.2076,15.8577,14.5148,45.8118
YHR201C,42.423,35.4261,12.9038,5.8327
YMR233W,13.4259,10.4119,5.39181,4.90041
YMR038C,245.105,269.876,218.248,164.122
YNL263C,79.8156,78.7333,79.9238,118.092
YGR053C,0,1.12574,3.21407,3.2794
YDL091C,7.85776,11.3535,14.3386,6.80778
YNR035C,77.042,61.3068,25.8609,18.1687
YPL257W,16.5831,16.6524,19.9584,13.5431
YPR035W,611.177,623.37,232.858,287.779
YIL013C,5.08672,6.84142,3.84674,5.02939
YDR151C,34.3984,39.2731,41.354,48.8913
